gene,tda_importance,tda_rank,euclidean_t,euclidean_p,euclidean_rank
KCMF1,0.44714078,414,-2.418506,0.016662693,14189
MIR1278,0.44665462,415,-0.12958606,0.89715296,20447
MIR126,0.44656837,416,-8.457529,2.4515362e-13,5342
TECPR1,0.4464809,417,-2.7415628,0.007162902,13582
PROZ,0.44575447,418,9.458596,1.5174796e-18,3634
WARS,0.44520926,419,0.9737274,0.3319154,17728
C1QTNF9B-AS1,0.44452986,420,7.619733,1.5533295e-12,5680
FAM203A,0.44450712,421,17.09778,0.0,613
SERPINE3,0.44448107,422,-1.7174113,0.08861299,15871
SLC16A10,0.44447637,423,2.0168753,0.045752358,15120
LINC00526,0.4440005,424,-12.438276,8.258728e-24,2447
SORBS1,0.44391826,425,-16.168734,1.3862926e-30,1445
FRYL,0.44290927,426,-5.7498794,7.163231e-08,8263
GRIN2B,0.44232517,427,-8.090042,1.7323883e-12,5701
CDRT15L2,0.44216436,428,1.197476,0.23349155,17127
FLJ35024,0.44205195,429,-8.2102585,9.433815e-13,5586
SYTL1,0.44176215,430,2.4655101,0.015162908,14115
ANKRD7,0.4414559,431,-3.1499,0.0019603996,12699
UBA2,0.44126844,432,-4.709755,7.470277e-06,9934
LDB2,0.44123536,433,-21.525545,0.0,226
C4orf26,0.4410566,434,6.9517455,2.9998927e-11,6298
LINC00240,0.4410541,435,-2.930997,0.00409556,13195
KIAA0196,0.4404769,436,5.42618,2.039734e-07,8608
HIST2H2BA,0.4404745,437,-1.2489026,0.21382739,17004
MIR556,0.44025123,438,-1.5006441,0.13656163,16376
RRAS2,0.44010317,439,-10.856181,6.5844564e-19,3538
MIR4749,0.44006592,440,-0.19668372,0.84446734,20230
LOC150185,0.43930703,441,-2.8867557,0.0048344517,13300
FLJ20518,0.43911082,442,0.8789994,0.37963724,18001
LSM11,0.4388832,443,-1.930216,0.056363076,15327
TMCO3,0.4386778,444,7.2611856,6.952175e-12,5973
DPY30,0.4386009,445,15.920978,2.3249892e-33,1187
KIT,0.43843615,446,-14.593327,1.8795385e-27,1830
LRRC3,0.4383905,447,-7.4404182,1.5402079e-11,6151
MPO,0.43824756,448,-7.8992977,2.7128174e-12,5784
MIR661,0.43822002,449,0.9423492,0.34810945,17830
CIDEA,0.43821836,450,-13.77755,5.3208663e-25,2224
ANGPT4,0.4369481,451,-11.237047,4.2852464e-19,3490
